Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
offend,v,680,23,4.608696,1.405804,12,5,1.206045,11,4.181818,1.537412,2.76,5.56,3.73
offensive,,229,20,4.85,0.9880869,12,5.083333,0.6685579,8,4.5,1.309307,,,
office,,196,26,4.423077,1.238485,9,4.444444,0.5270463,17,4.411765,1.502449,5.24,4.08,5.59
old,,240,23,4.478261,1.16266,12,4.583333,1.1645,11,4.363636,1.206045,,,
opinion,n,295,26,4.192308,1.16685,14,4.285714,1.266647,12,4.083333,1.083625,6.28,4.89,5.53
optimism,n,619,27,4.37037,1.181529,13,4.923077,1.320451,14,3.857143,0.7703289,6.95,5.34,6.61
orange,,675,23,3.73913,1.629763,12,4.083333,1.831955,11,3.363636,1.361817,,,
ordeal,n,653,20,4.45,0.8870412,8,4.875,0.9910312,12,4.166667,0.7177406,,,
overlook,,489,21,4.380952,1.116969,13,4.384615,1.26085,8,4.375,0.9161254,,,
overwhelm,,640,17,4.058824,1.560072,7,4.571429,1.272418,10,3.7,1.702939,4.19,7,3.89
pal,n,360,27,5,1.270978,13,5.384615,1.26085,14,4.642857,1.215739,,,
pang,,531,37,4.189189,1.174683,20,4.15,1.03999,17,4.235294,1.347656,,,
panic,n,278,30,3.966667,1.299425,14,4.071429,1.63915,16,3.875,0.9574271,3.12,7.02,3.2
part,,616,27,4.185185,1.075498,13,4.615385,1.192928,14,3.785714,0.8017837,5.11,3.82,4.75
passion,n,410,21,3.142857,1.424279,13,3,1.581139,8,3.375,1.187735,8.03,7.26,6.13
passionate,adj,208,27,3.222222,1.476309,12,3.583333,1.928652,15,2.933333,0.9611501,8.03,7.26,6.13
past,,176,16,4.375,0.8062258,10,4.1,0.3162278,6,4.833333,1.169045,,,
pathetic,,484,21,4.52381,1.209093,13,4.769231,1.300887,8,4.125,0.9910312,,,
pathological,,313,25,4.44,0.9609024,12,4.166667,0.8348471,13,4.692308,1.031553,,,
payment,n,550,25,4.56,1.356466,15,4.666667,1.58865,10,4.4,0.9660918,,,
peace,n,75,35,3.142857,1.574481,16,3,1.67332,19,3.263158,1.521772,7.72,2.95,5.45
peaceful,adj,311,25,3,1.707825,11,3.181818,1.47093,14,2.857143,1.91581,,,
peculiar,,530,37,4.027027,1.092563,20,3.65,0.9880869,17,4.470588,1.06757,,,
people,n,394,27,4.185185,1.144789,16,4.125,1.147461,11,4.272727,1.190874,,,
permit,v,544,25,4.24,1.690168,15,3.933333,1.944467,10,4.7,1.159502,,,
perservering,,381,24,4.125,1.034723,10,4.7,1.159502,14,3.714286,0.726273,,,
persevere,,496,31,4.322581,1.514092,20,4.8,1.472556,11,3.454545,1.21356,,,
persistent,,520,24,4.458333,1.53167,10,5,1.154701,14,4.071429,1.685426,,,
persnickety,,89,32,3.78125,1.313316,13,4.076923,1.320451,19,3.578947,1.304513,,,
piercing,adj,340,25,4.2,1.414214,13,4,1.527525,12,4.416667,1.311372,,,
pig,,698,30,5.066667,1.142693,19,4.947368,1.223551,11,5.272727,1.00905,5.07,4.2,5.34
placid,adj,292,21,3.47619,1.167007,12,3.583333,1.378954,9,3.333333,0.8660254,,,
plain,adj,397,27,3.814815,1.177907,16,4.125,1.087811,11,3.363636,1.206045,4.39,3.52,4.71
playful,,578,21,3.619048,1.499206,9,4,1.414214,12,3.333333,1.556998,,,
pleasant,,557,20,3.35,1.225819,12,3.5,1.314257,8,3.125,1.125992,,,
pleased,adj,685,26,3.423077,1.553656,13,3.307692,1.601282,13,3.538462,1.560736,,,
point,,625,21,4.333333,1.278019,11,4.636364,1.026911,10,4,1.490712,,,
poisionous,adj,472,30,4.466667,1.252125,14,4.357143,1.549548,16,4.5625,0.9639329,,,
poison,,266,24,4.875,1.190999,16,4.8125,1.276388,8,5,1.069045,1.98,6.05,3.1
potent,adj,293,26,4.884615,1.070586,14,5.071429,0.997249,12,4.666667,1.154701,,,
power,,90,33,5.272727,1.17985,14,5.357143,1.150728,19,5.210526,1.228321,6.54,6.67,7.28
prerogative,n,508,31,4.387097,1.308368,14,5,1.300887,17,3.882353,1.111438,,,
preserve,v,423,27,3.851852,1.166972,15,3.8,1.207122,12,3.916667,1.1645,,,
presitge,n,389,19,4.157895,1.462994,7,4,1.414214,12,4.25,1.544786,7.26,5.86,6.9
pretentious,,335,25,4.36,1.604161,13,4.461538,1.198289,12,4.25,2.005674,,,
prey,n,430,27,4.185185,1.494529,15,4.133333,1.45733,12,4.25,1.602555,,,
pride,n,144,30,4.666667,1.347625,14,5.214286,1.311404,16,4.1875,1.223043,7,5.83,7.06
prison,,510,31,5.612903,1.115868,14,5.642857,0.9287827,17,5.588235,1.277636,2.05,5.7,4.2
prisoner,,502,33,5.272727,1.329303,22,5.090909,1.4445,11,5.636364,1.026911,,,
problem,n,214,25,4.4,1.258306,14,4.142857,1.167321,11,4.727273,1.3484,,,
production,,312,25,4.88,1.641138,11,5,1.414214,14,4.785714,1.847184,,,
prominent,,104,20,4.25,1.332785,14,4.428571,0.9376145,6,3.833333,2.041241,,,
protect,v,673,23,5,1.314257,12,4.833333,1.114641,11,5.181818,1.537412,7.29,4.09,5.8
prudent,adj,269,24,3.625,1.46888,16,3.875,1.586401,8,3.125,1.125992,,,
prying,,358,27,3.62963,1.181529,13,3.384615,1.502135,14,3.857143,0.7703289,,,
punish,v,694,30,5.2,1.374647,19,5.210526,1.58391,11,5.181818,0.9816498,,,
puppy,,253,21,3.142857,1.195229,14,3.214286,1.311404,7,3,1,7.56,5.85,5.51
pure,adj,592,19,3.210526,1.718492,13,3.076923,1.754116,6,3.5,1.760682,,,
purple,,116,20,3.75,1.371707,9,4.111111,1.166667,11,3.454545,1.507557,,,
purport,,561,20,4,1.297771,12,3.75,1.05529,8,4.375,1.59799,,,
pushover,,109,20,4,1.376494,14,4.071429,1.268814,6,3.833333,1.722401,,,
pushy,adj,146,30,4.1,1.373392,14,4.285714,1.540658,16,3.9375,1.236595,,,
questioning,,133,28,3.821429,1.306779,16,4.1875,1.276388,12,3.333333,1.230915,,,
quitter,n,518,24,4.458333,1.102533,10,4.4,0.9660918,14,4.5,1.224745,,,
rape,,51,23,4.782609,1.536126,16,4.5625,1.631717,7,5.285714,1.253566,1.25,6.81,2.97
ravage,v,237,23,5.043478,1.260529,12,5.166667,1.029857,11,4.909091,1.513575,,,
ravishing,,154,30,2.833333,1.464131,17,3.058824,1.675955,13,2.538462,1.126601,,,
razor,,44,20,4.9,1.333772,9,4.888889,1.452966,11,4.909091,1.30035,4.81,5.36,4.91
realist,,254,21,4.47619,0.9807674,14,4.571429,0.9376145,7,4.285714,1.112697,,,
reality,,132,28,4.25,0.9670497,16,4.3125,1.138347,12,4.166667,0.7177406,,,
rebel,,15,26,5.038462,1.455494,12,5.25,1.215431,14,4.857143,1.657484,,,
reclusive,,559,20,4.5,1.277333,12,4.333333,1.370689,8,4.75,1.164965,,,
red,,377,23,4,1.381699,9,4.555556,1.236033,14,3.642857,1.392681,6.41,5.29,5.78
refuse,v,388,19,4.894737,1.486784,7,4.714286,1.603567,12,5,1.477098,,,
rehabilitate,v,682,23,4.478261,1.309739,12,4.75,1.288057,11,4.181818,1.32802,,,
reject,v,333,25,4.32,1.375984,13,4.538462,1.330124,12,4.083333,1.443376,1.5,6.37,2.72
relaxed,,72,35,3.657143,1.258918,16,3.6875,1.447699,19,3.631579,1.116071,7,2.39,5.55
relish,v,242,23,3.608696,1.469048,12,4.083333,1.240112,11,3.090909,1.578261,,,
remarkable,,54,23,3.869565,1.217462,16,3.875,1.408309,7,3.857143,0.6900656,,,
remorseful,adj,52,23,4.043478,1.14726,16,3.875,1.258306,7,4.428571,0.7867958,,,
repair,v,569,21,5,1.264911,12,5.166667,1.029857,9,4.777778,1.563472,,,
resilent,,587,19,4.315789,1.454977,13,4.384615,1.445595,6,4.166667,1.602082,,,
resolute,adj,28,28,4.535714,1.231745,17,4.705882,1.311712,11,4.272727,1.103713,,,
resort,,307,25,3.72,1.4,11,3.727273,0.904534,14,3.714286,1.728876,,,
resourceful,adj,12,26,4.423077,1.101747,12,4.75,0.8660254,14,4.142857,1.231456,,,
respect,v,224,19,4.263158,1.284182,11,4.636364,1.206045,8,3.75,1.28174,7.64,5.19,6.89
respectful,adj,130,26,4.115385,1.275207,19,4.157895,1.344254,7,4,1.154701,7.22,4.6,5.67
restless,,291,22,3.818182,1.296015,12,3.583333,1.676486,10,4.1,0.5676462,,,
retreat,,24,28,4.357143,1.339272,17,4.352941,1.497547,11,4.363636,1.120065,,,
retribution,noun,374,23,4.695652,0.9739695,9,4.888889,0.9279607,14,4.571429,1.01635,,,
revere,v,76,35,4.371429,1.308023,16,4.4375,1.209339,19,4.315789,1.41628,,,
rich,adj,41,20,4.6,1.142481,9,4.333333,1.224745,11,4.818182,1.07872,,,
ridicule,v,103,19,4.368421,1.011628,13,4.307692,1.1094,6,4.5,0.83666,3.13,5.83,3.87
river,,431,27,3.62963,1.213645,15,3.8,1.320173,12,3.416667,1.083625,6.85,4.51,5.1
room,,396,27,4.259259,1.195909,16,4.25,1.125463,11,4.272727,1.3484,,,
rotten,,211,27,4.814815,1.177907,12,4.666667,1.154701,15,4.933333,1.222799,2.26,4.53,4.32
rough,adj,252,34,5.764706,1.046171,17,6.117647,0.9926198,17,5.411765,1.00367,4.74,5.33,4.81
roughneck,,259,20,5.9,1.071153,13,5.923077,1.037749,7,5.857143,1.214986,,,
routine,n,61,26,4.384615,0.9829313,13,4.692308,0.8548504,13,4.076923,1.037749,,,
safe,adj,415,19,3.736842,1.240166,10,4,1.414214,9,3.444444,1.013794,7.07,3.86,5.81
salary,n,615,27,4.259259,1.129758,13,4.307692,1.182132,14,4.214286,1.121714,,,
sassy,adj,514,24,2.208333,1.587428,10,2.3,1.888562,14,2.142857,1.406422,,,
satisfied,,522,24,3.875,1.329024,10,4.1,1.595131,14,3.714286,1.138729,7.94,4.94,6.14
savage,adj,414,19,5.684211,1.335525,10,5.7,1.494434,9,5.666667,1.224745,,,
scandal,,638,17,3.882353,1.536325,7,3.714286,1.976047,10,4,1.247219,3.32,5.12,4.34
scared,adj,65,26,3.576923,1.137474,13,3.846154,1.214232,13,3.307692,1.031553,2.78,6.82,2.94
scream,,19,26,3.653846,1.383974,12,3.416667,1.443376,14,3.857143,1.350621,,,
scrutinizing,,629,21,4.619048,1.359272,11,4.818182,1.32802,10,4.4,1.429841,,,
sea,,43,20,3.95,1.276302,9,4.222222,1.481366,11,3.727273,1.103713,,,
secure,adj,40,22,4.272727,1.031957,11,4.545455,1.128152,11,4,0.8944272,7.57,3.14,5.93
self-assured,,349,28,4.464286,1.452511,15,4.8,1.320173,13,4.076923,1.5525,,,
self-centered,,658,20,4.5,1.235442,8,4.625,1.59799,12,4.416667,0.9962049,,,
self-imporjtant,,182,30,4.666667,1.184187,18,4.444444,0.9835244,12,5,1.414214,,,
selfish,,134,28,4.392857,1.13331,16,4.25,1.183216,12,4.583333,1.083625,2.42,5.5,4.64
selfless,,379,24,3.208333,1.444003,10,3.9,1.66333,14,2.714286,1.069045,,,
sensitive,adj,386,19,2.263158,1.097578,7,2.571429,1.133893,12,2.083333,1.083625,,,
serious,,603,24,4.333333,1.167184,10,4.6,1.264911,14,4.142857,1.09945,5.08,4,5.12
servant,,375,24,3.791667,1.284664,10,3.8,1.398412,14,3.785714,1.251373,,,
severe,adj,81,33,4.818182,1.33357,14,4.285714,1.437336,19,5.210526,1.134262,3.2,5.26,3.83
shaky,,432,27,4,1.593255,15,4.2,1.740279,12,3.75,1.422226,,,
shame,v,111,20,3.95,0.6048053,9,3.888889,0.9279607,11,4,0,2.5,4.88,2.98
shameful,adj,458,26,4.153846,1.31734,16,4.375,1.454877,10,3.8,1.032796,,,
shaver,,27,27,5.074074,1.412198,16,5.1875,1.376893,11,4.909091,1.513575,,,
shield,v,343,28,4.678571,1.389206,15,4.933333,1.162919,13,4.384615,1.609268,,,
shop,,108,20,3.5,1.100239,14,3.714286,1.138729,6,3,0.8944272,,,
