Word,POS,Random #,n-all,mean-a,std.dev-a,n-m,mean-m,std.dev-m,n-f,mean--f,std.dev-f,valence,arousal,dom
abrasive,adj,459,26,5.153846,1.084152,16,5.1875,0.9105859,10,5.1,1.37032,,,
absolve,,492,21,4.52381,1.249762,13,4.692308,1.493576,8,4.25,0.7071068,,,
absurd,adj,298,26,4.192308,0.8494342,14,4.357143,0.7449463,12,4,0.9534626,4.26,4.36,4.73
abundant,adj,515,24,4.083333,1.248187,10,4.5,1.080123,14,3.785714,1.311404,6.59,5.51,5.8
abuse,v,597,32,5.03125,1.204411,14,5.142857,1.231456,18,4.944444,1.21133,1.8,6.83,3.69
acceptance,n,153,30,3.3,0.9878573,17,3.352941,0.9314757,13,3.230769,1.091928,7.98,5.4,6.64
accord,n,553,20,4.2,1.281447,12,4.416667,1.1645,8,3.875,1.457738,,,
ache,,435,44,4.340909,1.160256,25,4.32,1.375984,19,4.368421,0.8306976,2.46,5,3.54
acheivement,,37,22,4.363636,1.328997,11,4.363636,1.629278,11,4.363636,1.026911,7.89,5.53,6.56
active,,552,25,4.92,1.320353,15,5.2,1.612452,10,4.5,0.5270463,,,
admiring,adj,2,15,3.333333,1.397276,9,3.111111,1.615893,6,3.666667,1.032796,7.74,6.11,7.53
adorable,,667,25,2.2,1.040833,9,2.222222,1.092906,16,2.1875,1.046821,7.81,5.12,5.74
adulterous,adj,413,19,4.526316,1.611363,10,4.4,1.712698,9,4.666667,1.581139,,,
adversity,n,263,24,4.791667,1.102533,16,5.1875,1.108678,8,4,0.5345225,,,
affectionate,adj,618,27,3.296296,1.636479,13,3.923077,1.800997,14,2.714286,1.266647,8.39,6.21,6.08
afflict,,385,19,4.263158,1.367971,7,3.714286,1.496026,12,4.583333,1.240112,,,
affluent,adj,683,26,4.269231,1.079173,13,4.307692,1.315587,13,4.230769,0.8320503,,,
afraid,adj,403,21,3.809524,1.435933,13,3.769231,1.640825,8,3.875,1.125992,2,6.67,3.98
aged,,446,20,4.35,1.308877,4,5.5,1.290994,16,4.0625,1.181454,,,
agency,,117,20,4.1,1.209611,9,4.777778,1.20185,11,3.545455,0.9341987,,,
aggressive,adj,49,20,5,1.863782,9,4.333333,1.936492,11,5.545455,1.694912,5.1,5.83,5.59
agitated,adj,517,24,4.958333,1.160179,10,5.4,1.349897,14,4.642857,0.9287827,,,
agony,n,33,22,4.590909,1.007547,11,4.909091,1.136182,11,4.272727,0.7862454,2.43,6.06,4.02
agreement,n,160,30,3.766667,1.072648,17,3.647059,1.169464,13,3.923077,0.9540736,7.08,5.02,6.22
airhead,n,217,25,4.2,1.755942,14,3.857143,1.703261,11,4.636364,1.804036,,,
alluring,adj,600,31,2.677419,1.535949,13,3.307692,1.93152,18,2.222222,1.003263,,,
aloof,adj,317,25,4.24,1.2,12,4.083333,1.083625,13,4.384615,1.325296,4.9,4.28,4.69
amazing,adj,128,26,3.576923,1.137474,19,3.526316,1.218762,7,3.714286,0.9511897,,,
ambition,n,138,28,4.5,1.071517,16,4.6875,1.138347,12,4.25,0.9653073,7.04,5.61,6.93
ambitious,adj,691,26,4.461538,1.33359,13,4.692308,1.548366,13,4.230769,1.091928,,,
ample,adj,669,25,2.92,1.077033,9,3,1.414214,16,2.875,0.8850612,,,
analytical,,558,20,4.85,1.225819,12,4.666667,1.302678,8,5.125,1.125992,,,
ancient,,227,20,4.1,1.071153,12,4.25,0.9653073,8,3.875,1.246423,,,
anguish,n,205,27,4.111111,0.9740215,12,4.333333,1.230915,15,3.933333,0.7037316,2.12,5.33,3.45
annihilation,,155,30,4.9,1.422722,17,4.823529,1.550617,13,5,1.290994,,,
annoy,v,163,23,4.434783,1.160959,13,4.384615,1.38675,10,4.5,0.8498366,2.74,6.49,5.09
annoying,adj,323,17,4.176471,1.185079,5,4,1.224745,12,4.25,1.215431,,,
antagonize,v,179,16,5,1.460593,10,4.9,1.197219,6,5.166667,1.94079,,,
anticipate,v,585,19,4.368421,1.211543,13,4.384615,1.192928,6,4.333333,1.36626,,,
anticipation,n,283,22,3.818182,1.052723,12,3.916667,1.240112,10,3.7,0.8232726,,,
antiquity,,580,21,4.047619,1.283596,9,3.666667,1.414214,12,4.333333,1.154701,,,
anxiety,n,655,20,3.8,1.43637,8,4.5,1.690309,12,3.333333,1.073087,,,
anxious,adj,69,26,3.769231,1.106623,13,3.923077,1.115164,13,3.615385,1.120897,4.81,6.92,5.33
appreciate,v,271,24,3.541667,1.503016,16,3.75,1.48324,8,3.125,1.552648,,,
apprehensive,,513,24,4.041667,1.573674,10,4.3,1.766981,14,3.857143,1.460092,,,
arm,,309,25,4.64,1.439907,11,4.818182,1.47093,14,4.5,1.454436,5.34,3.59,5.07
arrogant,,453,26,5.192308,1.470217,16,5.25,1.48324,10,5.1,1.523884,3.69,5.65,5.14
aspiration,n,84,33,3.939394,1.412874,14,3.785714,1.528125,19,4.052632,1.352926,,,
assault,,71,35,5.4,1.264911,16,5.6875,1.078193,19,5.157895,1.384965,2.03,7.51,3.94
assertive,adj,676,23,4.782609,1.277658,12,4.666667,1.370689,11,4.909091,1.221028,,,
athlete,,302,26,5.230769,1.704293,14,5.571429,1.34246,12,4.833333,2.037527,,,
athletic,adj,493,32,5.09375,1.352641,21,5.047619,1.532194,11,5.181818,0.9816498,6.61,6.1,6.12
attainment,,601,32,4.5,1.107161,14,4.857143,1.460092,18,4.222222,0.6467617,,,
attractive,,164,23,2.826087,1.266785,13,3,1.47196,10,2.6,0.9660918,,,
audacious,adj,424,27,4.333333,1.270978,15,4.4,1.352247,12,4.25,1.215431,,,
authority,,318,25,5.32,1.069268,12,5.166667,0.9374369,13,5.461538,1.198289,,,
authorization,n,86,33,4.666667,1.108678,14,4.642857,1.277446,19,4.684211,1.00292,,,
autonomy,,288,22,4.5,1.336306,12,4.833333,1.585923,10,4.1,0.875595,,,
award,,329,17,3.764706,1.20049,5,3.8,0.4472136,12,3.75,1.422226,,,
awful,adj,167,23,4.73913,0.9153932,13,5,0.9128709,10,4.4,0.843274,,,
bacteria,,162,23,4.391304,0.8387832,13,4.615385,1.043908,10,4.1,0.3162278,,,
bake,,38,22,2.772727,1.151885,11,2.636364,1.206045,11,2.909091,1.136182,6.17,5.1,5.49
baker,,32,22,3.454545,1.534594,11,3.090909,1.700267,11,3.818182,1.32802,,,
barbecue,,677,23,5.086957,0.9960396,12,5,0.9534626,11,5.181818,1.07872,,,
beautiful,,586,19,2.210526,1.315673,13,2.307692,1.493576,6,2,0.8944272,7.6,6.17,6.29
becoming,,277,30,3.366667,1.217214,14,3.071429,1.141139,16,3.625,1.258306,,,
belief,n,315,25,3.24,0.8306624,12,3.083333,0.7929615,13,3.384615,0.8697185,,,
benevolent,adj,13,26,3.846154,1.286618,12,4.083333,1.1645,14,3.642857,1.392681,,,
betray,v,281,30,4.333333,1.184187,14,3.857143,1.460092,16,4.75,0.6831301,1.68,7.24,4.92
bewilder,v,29,28,4.071429,1.412342,17,3.764706,1.480262,11,4.545455,1.21356,,,
bird,,362,27,3.222222,1.250641,13,3.153846,1.675617,14,3.285714,0.726273,7.27,3.17,4.42
bitchy,adj,467,30,2.666667,1.88155,14,2.857143,2.213843,16,2.5,1.591645,,,
bitter,adj,562,20,4.35,1.225819,12,4,1.3484,8,4.875,0.834523,,,
black,,611,24,4.333333,0.9630868,10,4.4,1.264911,14,4.285714,0.726273,5.39,4.61,5.14
blackmail,v,387,19,5.263158,1.194529,7,5.142857,1.46385,12,5.333333,1.073087,2.95,6.03,3.54
blade,,681,23,5.478261,0.8979555,12,5.416667,0.7929615,11,5.545455,1.035725,,,
blare,,345,28,4.5,1.20185,15,4.466667,0.9904304,13,4.538462,1.450022,,,
bless,v,406,21,3.142857,1.276155,13,2.846154,1.143544,8,3.625,1.407886,7.19,4.05,5.52
blossoming,,488,21,3.428571,2.134747,13,4.076923,2.059998,8,2.375,1.92261,,,
blue,,649,32,4.1875,1.354503,20,4.45,1.468081,12,3.75,1.05529,6.76,4.31,5.63
blunder,n,180,16,4.5,1.316561,10,4.3,1.251666,6,4.833333,1.47196,,,
boast,,365,21,5.380952,0.9734573,16,5.625,0.8850612,5,4.6,0.8944272,,,
body,,216,24,3.791667,1.444003,13,3.846154,1.405119,11,3.727273,1.55505,5.55,5.52,5.34
boil,,114,20,4.3,0.8013147,9,4.333333,0.8660254,11,4.272727,0.7862454,,,
bold,adj,194,26,4.461538,1.30325,9,4.111111,0.9279607,17,4.647059,1.455214,6.8,5.6,6.67
boorish,,5,15,4.866667,1.407463,9,4.555556,1.333333,6,5.333333,1.505545,,,
bossy,,529,37,4.432432,1.675651,20,4.35,1.843195,17,4.529412,1.504894,,,
bother,,299,26,4.269231,1.150919,14,4.428571,1.08941,12,4.083333,1.240112,,,
brag,,131,28,4.928571,1.245096,16,4.6875,1.352467,12,5.25,1.05529,,,
brash,adj,270,24,5.625,1.279011,16,5.625,1.310216,8,5.625,1.30247,,,
bravado,n,633,17,5.529412,1.504894,7,5.428571,1.902379,10,5.6,1.264911,,,
brave,adj,336,25,5.12,1.508863,13,4.846154,1.772294,12,5.416667,1.1645,7.15,6.15,7.22
brazen,adj,246,34,4.764706,1.280597,17,5,1.172604,17,4.529412,1.374666,,,
bribe,v,184,30,4.866667,1.195778,18,4.555556,1.293523,12,5.333333,0.8876254,,,
brilliance,n,643,31,3.967742,1.251236,19,4.105263,1.32894,12,3.75,1.13818,,,
bud,n,22,28,5.071429,1.698116,17,5.470588,1.419403,11,4.454545,1.967925,,,
budding,adj,241,22,3.863636,1.780729,12,3.666667,1.825742,10,4.1,1.791957,,,
buddy,n,126,26,5.461538,1.240347,19,5.210526,1.228321,7,6.142857,1.069045,,,
burden,,636,17,4.470588,1.28051,7,4.428571,0.7867958,10,4.5,1.581139,2.5,5.63,5.03
business,,67,26,4.807692,0.9389028,13,4.846154,1.068188,13,4.769231,0.8320503,,,
busy,,304,25,4.6,1.414214,11,4.727273,1.3484,14,4.5,1.506397,,,
busybody,,380,24,3.291667,1.45898,10,3.5,1.509231,14,3.142857,1.460092,5.17,4.84,5.45
butcher,v,4,15,5.333333,1.632993,9,5.555556,0.8819171,6,5,2.44949,,,
cabin,,265,24,4.708333,1.301476,16,4.5625,1.364734,8,5,1.195229,,,
calm,adj,275,30,3.366667,1.49674,14,3.142857,1.703261,16,3.5625,1.314978,,,
cantankerous,,391,19,5.368421,1.164785,7,5,1.154701,12,5.583333,1.1645,,,
capitulate,verb,339,25,4.16,1.280625,13,4,0.9128709,12,4.333333,1.61433,,,
captain,n,686,25,5.52,1.122497,12,5.5,1.087115,13,5.538462,1.198289,,,
captivating,,306,25,3.84,1.818424,11,4,1.67332,14,3.714286,1.9779,,,
captive,,427,27,4.333333,1.441153,15,4.466667,1.505545,12,4.166667,1.403459,,,
carefree,,156,30,3.4,1.220514,17,3.352941,0.9963167,13,3.461538,1.506397,7.54,4.17,5.78
cash,n,407,21,4.809524,0.9283883,13,4.923077,0.9540736,8,4.625,0.9161254,8.37,7.37,6.96
casualty,n,135,28,4.642857,1.311326,16,4.75,1.238278,12,4.5,1.445998,,,
cat,,303,25,3.04,1.428286,11,3.636364,1.286291,14,2.571429,1.398586,5.72,4.38,6.16
catastrophe,n,543,25,5.12,1.332917,15,5.466667,1.45733,10,4.6,0.9660918,,,
cave,,173,16,4.8125,1.046821,10,5,1.054093,6,4.5,1.048809,,,
celebrate,v,588,19,3.789474,1.512134,13,4,1.414214,6,3.333333,1.75119,,,
celibate,,564,21,3.52381,1.661898,12,3.25,1.76455,9,3.888889,1.536591,,,
chaos,,95,26,4.576923,1.331858,17,4.529412,1.328422,9,4.666667,1.414214,4.17,6.67,3.86
charisma,n,630,21,4.142857,1.621287,11,3.909091,1.868397,10,4.4,1.349897,,,
charismatic ,adj,190,30,4.633333,1.42595,18,4.666667,1.236694,12,4.583333,1.729862,,,
charitable,adj,87,33,3.333333,1.163687,14,3.428571,1.398586,19,3.263158,0.9911893,,,
charming,,571,21,4,2,12,4,2,9,4,2.12132,6.77,5.16,5.57
chaste,,115,20,3.7,1.454575,9,4,1.581139,11,3.454545,1.368476,,,
chastise,v,555,20,3.9,1.48324,12,4,1.206045,8,3.75,1.908627,,,
cheating,adj,60,23,5.043478,1.330696,16,5.1875,1.515201,7,4.714286,0.7559289,,,
chef,,16,26,4.423077,1.137474,12,4.25,1.13818,14,4.571429,1.157868,,,
cherish,v,665,25,2.28,1.1,9,2.222222,0.9718253,16,2.3125,1.195478,,,
chief,n,699,30,5.5,1.279817,19,5.526316,1.50438,11,5.454545,0.8201995,,,
cleverness,n,668,25,3.84,1.374773,9,4.111111,1.833333,16,3.6875,1.078193,,,
clumsy,,35,22,3.409091,1.098011,11,2.909091,1.044466,11,3.909091,0.9438798,4,5.18,3.86
cocky,,191,30,6,1.203443,18,5.777778,1.262843,12,6.333333,1.073087,,,
cold,adj,528,37,4.243243,0.9833448,20,4.35,1.089423,17,4.117647,0.8574929,4.02,5.19,4.69
collaborative,adj,390,19,3.842105,1.60773,7,4.285714,1.253566,12,3.583333,1.78164,,,
comeuppance,noun,584,19,4.105263,1.286457,13,4.153846,1.281025,6,4,1.414214,,,
commander,n,370,21,5.095238,1.480026,16,5.125,1.668333,5,5,0.7071068,,,
compassionate,adj,244,34,2.941176,1.536252,17,3.235294,1.888432,17,2.647059,1.057188,,,
competitive,adj,332,17,4.941176,1.344925,5,4.8,1.788854,12,5,1.206045,,,
complain,v,245,34,3.911765,1.083419,17,4.058824,1.197424,17,3.764706,0.9701425,,,
compliance,n,228,20,4.55,1.099043,12,4.666667,1.073087,8,4.375,1.187735,,,
confidence,n,11,26,4.384615,1.061204,12,4.666667,1.154701,14,4.142857,0.9492623,,,
confident,adj,73,35,4.8,1.278786,16,5.375,1.087811,19,4.315789,1.249561,7.98,6.22,7.68
consensus building,adj,438,44,4.5,1.389328,25,4.76,1.507758,19,4.157895,1.167293,,,
considerate,adj,357,27,3.518519,1.220667,13,3.615385,1.38675,14,3.428571,1.08941,,,
contanimated,,10,15,4.8,1.146423,9,4.666667,1,6,5,1.414214,,,
contented,,672,25,3.32,1.314027,9,3.333333,1.581139,16,3.3125,1.195478,,,
cook,,77,35,3.4,1.438954,16,3.5,1.632993,19,3.315789,1.293257,6.16,4.44,5.14
cooperation,n,476,25,3.88,1.563117,13,3.846154,1.344504,12,3.916667,1.831955,,,
copious,adj,285,22,3.681818,1.129111,12,3.5,1.445998,10,3.9,0.5676462,,,
cordial,adj,609,24,3.25,1.151558,10,3.1,1.523884,14,3.357143,0.8418974,,,
courageous,adj,426,27,4.62963,1.596827,15,4.866667,1.552264,12,4.333333,1.669694,,,
courtly,adj,342,25,3.96,1.428286,13,3.615385,1.043908,12,4.333333,1.723281,,,
coward,n,455,26,4.538462,1.55514,16,4.25,1.612452,10,5,1.414214,2.74,4.04,2.83
crabby,,664,24,3.708333,1.041703,9,3.888889,1.054093,15,3.6,1.055597,,,
crass,,509,31,4.967742,1.494074,14,4.857143,1.657484,17,5.058824,1.39062,,,
crazy,adj,376,24,3.625,0.8242256,10,3.4,1.074968,14,3.785714,0.5789342,,,
crime,,534,26,5,1.232883,16,4.875,1.360147,10,5.2,1.032796,2.89,5.41,4.12
critical,,461,26,5.038462,1.21592,16,5.1875,1.167262,10,4.8,1.316561,,,
crucial,,442,44,4.454545,1.170461,25,4.72,1.275408,19,4.105263,0.9365858,,,
crucify,v,70,26,5.230769,1.069867,13,5.153846,1.143544,13,5.307692,1.031553,2.23,6.47,3.74
crude,,59,23,5.478261,1.377401,16,5.4375,1.504161,7,5.571429,1.133893,3.12,5.07,4.27
crush ,,1,15,3.933333,1.667619,9,4,1.732051,6,3.833333,1.722401,,,
cry,,308,25,2.96,1.540563,11,2.909091,1.578261,14,3,1.568929,,,
cubicle,,445,20,4.2,1.321881,4,4,1.414214,16,4.25,1.341641,,,
curious,,262,21,3.904762,1.300183,14,4.214286,1.251373,7,3.285714,1.253566,6.08,5.82,5.42
cute,,503,31,2.322581,1.469401,14,2.642857,1.823232,17,2.058824,1.088037,7.62,5.53,4.86
darling,,541,26,2.538462,1.630479,16,2.6875,1.851801,10,2.3,1.251666,,,
data,,107,20,4.85,1.03999,14,4.714286,0.9944903,6,5.166667,1.169045,,,
dawn,,395,27,3.518519,1.626,16,3.5,1.67332,11,3.545455,1.634848,6.16,4.39,5.16
day,,354,27,3.814815,1.039121,13,4,1.354006,14,3.642857,0.6333237,,,
daybreak,,570,21,3.857143,1.062342,12,4.083333,0.9003366,9,3.555556,1.236033,,,
deadbeat,,250,34,5.735294,1.024217,17,5.647059,1.114741,17,5.823529,0.9510057,,,
deceive,v,657,20,4.5,0.9459053,8,4.5,1.195229,12,4.5,0.797724,,,
deep,adj,420,19,4.473684,1.073334,10,4.9,0.875595,9,4,1.118034,,,
defeat,,141,30,4.4,1.101723,14,4,1.240347,16,4.75,0.8563488,2.34,5.09,3.11
defend,v,628,20,4.6,1.46539,11,4.636364,1.566699,9,4.555556,1.424001,,,
deliberate,,177,16,4.3125,1.621471,10,4.6,1.349897,6,3.833333,2.041241,,,
delicate,adj,149,30,2.433333,1.430778,14,3,1.664101,16,1.9375,0.9979145,,,
delight,n,267,24,3.375,1.714706,16,3.625,1.927866,8,2.875,1.125992,8.26,5.44,5.79
den,,261,21,4.571429,1.075706,14,4.642857,1.150728,7,4.428571,0.9759001,,,
deny,v,610,24,4.083333,0.9286112,10,3.9,1.197219,14,4.214286,0.6992932,,,
desire,n,327,17,3.352941,1.320094,5,3.2,1.643168,12,3.416667,1.240112,7.69,7.35,6.49
despair,n,175,16,4.5625,1.314978,10,4.5,1.269296,6,4.666667,1.505545,,,
destruction,,384,19,5.789474,1.134262,7,5.857143,1.069045,12,5.75,1.215431,3.16,5.82,3.93
developing,adj,532,37,3.702703,1.023742,20,3.75,1.292692,17,3.647059,0.6063391,,,
devote,,536,26,3.5,1.272792,16,3.6875,1.400893,10,3.2,1.032796,,,
dignified,adj,505,31,4.419355,1.232185,14,4.785714,1.368805,17,4.117647,1.053705,7.1,4.12,6.12
direct,adj,439,44,5.045455,1.180354,25,5.16,1.178983,19,4.894737,1.196975,,,
director,n,14,26,5.076923,1.163549,12,5.25,1.215431,14,4.928571,1.141139,,,
disarray,,53,23,4.521739,1.038774,16,4.5,1.032796,7,4.571429,1.133893,,,
disaster,n,402,27,4.851852,1.292097,16,5.1875,1.223043,11,4.363636,1.286291,1.73,6.33,3.52
discipline,v,690,26,4.576923,1.4191,13,4.692308,1.493576,13,4.461538,1.391365,,,
disgraceful,adj,47,20,4.45,0.9986833,9,4.222222,0.8333333,11,4.636364,1.120065,,,
disheveled,,487,21,4.619048,1.465476,13,4.846154,1.519109,8,4.25,1.38873,,,
disloyal,adj,652,32,4.46875,1.217729,20,4.45,1.394538,12,4.5,0.904534,1.93,6.56,3.79
dismay,,409,21,3.571429,1.075706,13,3.384615,1.120897,8,3.875,0.9910312,,,
disorder,,235,23,4.913043,1.040675,12,5.083333,1.083625,11,4.727273,1.00905,,,
distant,adj,579,21,4.666667,1.064581,9,4.333333,0.8660254,12,4.916667,1.1645,,,
distinguished,adj,500,33,4.575758,1.323591,22,4.727273,1.315903,11,4.272727,1.3484,,,
ditsy,adj,46,20,3,1.65434,9,3.111111,2.088327,11,2.909091,1.30035,,,
doctor,,607,24,4.541667,1.178767,10,4.5,1.581139,14,4.571429,0.8516306,5.2,5.86,4.89
dog ,,30,27,5.222222,1.050031,16,5,0.9660918,11,5.545455,1.128152,7.57,5.76,6.25
dolt,n,195,26,4.423077,1.02657,9,4.444444,0.7264832,17,4.411765,1.175735,,,
domination,n,368,21,5.761905,0.8890873,16,5.875,0.8850612,5,5.4,0.8944272,,,
dominion,n,314,25,4.96,1.135782,12,4.75,1.422226,13,5.153846,0.8006408,,,
donate,,421,19,3.842105,1.213954,10,4.3,1.337494,9,3.333333,0.8660254,,,
dread,,591,19,4.578947,1.426565,13,4.384615,1.502135,6,5,1.264911,2.26,5.84,4.1
dream,n,623,21,3.47619,1.691717,11,3.454545,1.863525,10,3.5,1.581139,6.73,4.53,5.53
dunce,,436,44,4.840909,1.256484,25,4.92,1.28841,19,4.736842,1.240166,,,
dungeon,,497,33,5.121212,1.268798,22,5.045455,1.326552,11,5.272727,1.190874,,,
ear,,174,16,3.4375,1.631717,10,3.6,1.173788,6,3.166667,2.316607,,,
earnest,adj,687,26,3.769231,1.305609,13,4.153846,1.405119,13,3.384615,1.120897,,,
effective,,264,24,4.291667,1.041703,16,4.5,0.9660918,8,3.875,1.125992,,,
ego,n,635,17,5.294118,1.046704,7,5.285714,1.253566,10,5.3,0.9486833,,,
egoistic,,473,25,5.44,1.193035,13,5.307692,1.250641,12,5.583333,1.1645,,,
elderly,,106,20,4,0.9733285,14,4,0.9607689,6,4,1.095445,,,
elephant,,188,30,4.866667,1.166585,18,4.888889,1.231398,12,4.833333,1.114641,,,
embarrass,v,170,23,4.086957,1.040675,13,4,1,10,4.2,1.135292,3.03,5.87,2.87
emotion,,695,30,2.866667,1.306043,19,2.894737,1.559727,11,2.818182,0.7507572,,,
emotional,adj,463,30,2.866667,1.547709,14,3.214286,1.968153,16,2.5625,1.030776,,,
empathetic,adj,334,25,2.76,1.392839,13,3.307692,1.315587,12,2.166667,1.267304,,,
employed,,282,30,4.066667,1.048261,14,3.642857,1.215739,16,4.4375,0.7274384,,,
endow,v,112,20,4.35,1.424411,9,4.666667,1.581139,11,4.090909,1.30035,,,
engaged,,18,25,3.48,1.122497,11,3.818182,0.8738629,14,3.214286,1.251373,8,6.77,6.49
enjoy,v,604,24,3.958333,1.122078,10,3.9,1.523884,14,4,0.7844645,7.8,5.2,6.46
enlist,,350,28,4.857143,1.268253,15,5.2,1.320173,13,4.461538,1.126601,,,
eradication,,129,26,4.923077,1.440085,19,4.894737,1.559727,7,5,1.154701,,,
evidence,,693,30,4.4,1.354431,19,4.315789,1.529438,11,4.545455,1.035725,,,
excitement,,110,20,4.4,1.273206,14,4.642857,1.215739,6,3.833333,1.32916,7.5,7.67,6.18
exclusive,,326,17,4.117647,1.111438,5,4.2,1.48324,12,4.083333,0.9962049,,,
excuse,,102,20,4.1,1.020836,14,4.142857,0.6629935,6,4,1.67332,4.05,4.48,4.07
exotic,adj,581,21,3.47619,1.778175,9,3.555556,1.589899,12,3.416667,1.975225,,,
exquisite,,449,20,2.5,1.235442,4,2,0.8164966,16,2.625,1.310216,,,
extermination,,206,27,4.962963,1.159625,12,4.75,1.288057,15,5.133333,1.060099,,,
extort,v,48,20,4.85,1.089423,9,4.666667,1.118034,11,5,1.095445,,,
extraordinary,,590,19,3.736842,1.194529,13,3.538462,1.265924,6,4.166667,0.9831921,,,
eye,,475,25,3.92,1.187434,13,3.923077,1.320451,12,3.916667,1.083625,,,
fabulous,adj,62,26,3,1.720465,13,3.230769,1.921538,13,2.769231,1.535895,,,
facility,,101,20,4.25,1.164158,14,4.285714,1.204388,6,4.166667,1.169045,,,
fact,,501,33,4.666667,1.108678,22,4.727273,1.279204,11,4.545455,0.6875517,,,
factory,,212,25,4.92,1.187434,14,5,1.176697,11,4.818182,1.250454,,,
failure,,181,16,4.1875,1.276388,10,4.4,0.5163978,6,3.833333,2.041241,1.7,4.95,2.4
fairness,,187,30,3.566667,1.165106,18,3.722222,1.178511,12,3.333333,1.154701,,,
fascinating,adj,474,25,3.6,1.384437,13,3.846154,1.463224,12,3.333333,1.302678,7.34,5.83,6.15
fear,,523,37,3.648649,1.229639,20,3.55,1.316894,17,3.764706,1.147247,2.76,6.96,3.22
fearless,adj,670,24,4.833333,1.37261,8,5.125,1.642081,16,4.6875,1.25,,,
felony,,147,30,5.033333,1.449931,14,4.642857,1.59842,16,5.375,1.258306,,,
fervor,,526,37,4.378378,1.114335,20,4.3,1.41793,17,4.470588,0.6242643,,,
fierce,adj,251,34,4.558824,1.744101,17,5.235294,1.640481,17,3.882353,1.61564,,,
figure,n,337,25,3.68,1.625833,13,3.769231,1.300887,12,3.583333,1.975225,,,
filthy,,203,27,4.851852,1.06351,12,4.5,1.087115,15,5.133333,0.9904304,2.47,5.12,3.81
first,,66,26,4.192308,1.020558,13,4.307692,0.8548504,13,4.076923,1.187542,,,
fish,,7,15,4.466667,1.125463,9,4.222222,1.20185,6,4.833333,0.9831921,6.04,4,6.02
flash,,272,24,4.583333,1.316011,16,4.5625,1.364734,8,4.625,1.30247,,,
flirt,,,30,3.366667,1.542129,19,3.368421,1.832137,11,3.363636,0.9244163,7.52,6.91,6.24
follower,n,637,17,3.764706,0.9701425,7,3.571429,1.272418,10,3.9,0.7378648,,,
fool,n,373,24,4.583333,0.8805466,10,4.4,1.074968,14,4.714286,0.726273,,,
foolish,adj,204,27,4.555556,0.9740215,12,4.5,1.087115,15,4.6,0.910259,,,
forceful,adj,8,15,5.266667,1.334523,9,5.111111,1.364225,6,5.5,1.378405,,,
forget,,183,30,4.233333,1.165106,18,4.222222,1.114374,12,4.25,1.288057,,,
forgive,,594,32,3.3125,1.281066,14,3.857143,1.406422,18,2.888889,1.02262,,,
fork,,491,21,4.238095,1.300183,13,4.538462,1.330124,8,3.75,1.164965,5.29,3.96,5.74
formal,adj,697,30,4.233333,1.406471,19,4.421053,1.464991,11,3.909091,1.30035,,,
frantic,adj,575,21,4.047619,1.283596,9,4.333333,0.8660254,12,3.833333,1.527525,,,
freedom,,631,21,4.190476,1.40068,11,4.636364,1.433369,10,3.7,1.251666,7.58,5.52,6.76
fresh,,294,26,3.384615,1.134087,14,3.285714,1.204388,12,3.5,1.087115,,,
friendly,adj,297,26,3.346154,1.198075,14,3.214286,1.423893,12,3.5,0.904534,8.43,5.11,5.92
frigid,adj,88,33,4,1.369306,14,3.785714,1.476929,19,4.157895,1.30227,3.5,4.75,4.27
frumpy,adj,284,22,3.318182,1.523979,12,3.5,1.732051,10,3.1,1.286684,,,
fulfilled,,382,24,4,0.8846517,10,4.4,1.173788,14,3.714286,0.4688072,,,
furious,adj,566,21,5.142857,1.49284,12,5.75,0.7537784,9,4.333333,1.870829,,,
gaffe,n,207,27,4.592593,1.152231,12,4.583333,1.505042,15,4.6,0.8280787,,,
gallant,adj,689,26,5.115385,1.557612,13,4.615385,1.894662,13,5.615385,0.9607689,,,
gentle,adj,499,33,2.787879,1.473889,22,2.818182,1.622355,11,2.727273,1.190874,7.31,3.21,5.1
genuine,,551,25,3.84,1.675311,15,4.4,1.882248,10,3,0.8164966,,,
genuis,n,589,19,4.789474,1.084176,13,4.846154,1.143544,6,4.666667,1.032796,,,
give,,121,26,3.615385,1.29852,19,3.736842,1.367971,7,3.285714,1.112697,,,
gleam,,560,20,3.4,1.569445,12,3.25,1.602555,8,3.625,1.59799,,,
glimmer,,598,32,2.90625,1.444888,14,3.5,1.743118,18,2.444444,0.9835244,,,
gloat,,367,21,5.142857,1.014185,16,5.1875,1.046821,5,5,1,,,
god,,320,25,4.8,1.154701,12,4.916667,1.083625,13,4.692308,1.250641,8.15,5.95,5.88
good,,152,30,3.766667,0.8583598,17,3.882353,0.9926198,13,3.615385,0.6504436,7.47,5.43,6.41
good-humored,,17,26,4.153846,0.9671528,12,4.416667,0.6685579,14,3.928571,1.141139,,,
goofy,adj,606,24,3.958333,1.082636,10,3.6,1.173788,14,4.214286,0.9749613,,,
gorgeous,,165,23,2.521739,1.754723,13,2.615385,1.709701,10,2.4,1.897367,,,
government,,127,26,5,1.414214,19,5.157895,1.537066,7,4.571429,0.9759001,,,
gracious,adj,248,34,3.088235,1.443221,17,3.588235,1.543487,17,2.588235,1.175735,,,
grateful,adj,279,30,3.4,1.275769,14,3.357143,1.499084,16,3.4375,1.093542,7.37,4.58,6.18
great,adj,105,20,4.2,1.399248,14,4.642857,1.277446,6,3.166667,1.169045,,,
